year,season_highlights,world_series,all_star_game
2021,"The 2021 season was the last where Cleveland's team competed as the Indians, replacing their 106-year-old team name. On December 14, 2020, the franchise announced they would unveil a new moniker, uniform, and stadium changes before the 2022 season.",,"The ninety-first All-Star Game was scheduled for July 13, 2021, at Truist Park in Atlanta, Georgia. On April 2, 2021, Major League Baseball moved the game out of Atlanta, in protest of the passage of a controversial voting law. On April 6, 2021, MLB selected hitter-friendly Coors Field, in Denver, Colorado, as the new host of the Midsummer Classic."
2022,The United Nations declared 2022 as the International Year of Artisanal Fisheries and Aquaculture and the International Year of Glass.,"On April 7, 2022, the Atlanta Braves held a ring-ceremony at Truist Field to celebrate their world championship title during the 2021 World Series.",2022 All-Star Game | 2022 Team Standings | 2022 World Series
2023,"Management changes in the junior circuit included two General Manager changes; Scott Harris took over with the Detroit Tigers, and Justin Hollander is the new Seattle Mariners GM. In the dugout, Phil Nevin is no longer an interim skipper, and now has the helm with the Los Angeles Angels, John Schneider replaced Charlie Montoya as manager of the Toronto Blue Jays, Bruce Bochy replaced Chris Woodward with the Texas Rangers, and Pedro Grifol replaced the retiring hall of famer, Tony La Russa, with the Chicago White Sox.","""Way-too-early Power Rankings, New Year's edition: 1. Astros. Repeating as World Series champions isn't easy, but the Astros probably deserve the benefit of the doubt. They've played in six straight AL Championship Series. They've won the World Series twice in that span. They have a starting staff that is six deep, which enabled them to let Justin Verlander, the AL Cy Young Award winner, leave for the Mets -- simply because they don't really need him. The 'World Series hangover' likely won't apply this year, considering Houston played two games over the minimum in the postseason and had multiple days of rest between each round. Though the AL West has improved in some areas -- the Mariners will be strong again, and the Rangers took measures to improve -- the Astros, again, will be the favorites to nab another division title."" - Footer, Alyson. MLB Staff Writer. Here are the first Power Rankings of 2023. 1 January 2023.","The 93rd All-Star Game was played on July 11, 2023. It was hosted by the Seattle Mariners at T-Mobile Park in Seattle, Washington. Philadelphia Phillies manager Rob Thomson managed the National League team, while Houston Astros manager Dusty Baker managed the American League team."
2024,"Management changes in the junior circuit included three General Manager changes; Rick Hahn was fired by the Chicago White Sox, and replaced with Chris Getz; Brian O'Halloran was reassigned by the Boston Red Sox, and replaced with Craig Breslow; Peter Bendix, the Tampa Bay Rays GM, was hired by the Miami Marlins. In the dugout, the Angels did not pick up their option on Phil Nevin, and replaced him with Ron Washington; Terry Francona was reassigned by the Guardians, and Stephen Vogt was his replacement; and future hall of famer, Dusty Baker, retired as skipper of the Astros, Joe Espada took over at the helm.",,2024 All-Star Game | 2024 Team Standings | 2024 World Series
1885,"Old Hoss Radbourn (59 wins) and Charlie Sweeney (17 wins) combined for 76-victories in 1884, the most by a pair of pitchers in baseball history. In 1885, Mickey Welch (44 wins), in his rookie season, and Tim Keefe (32 wins) tied their incredible record!","The American Association leading St. Louis Browns and National League champion Chicago White Stockings went head-to-head for six Championship games (winning three each) resulting in a rare tie. Despite the forming of a special committee to determine a winner, both teams were declared champions and split the $1,000 purse - $500 each.",
1886,"A bombing at Haymarket Square in Chicago killed seven policemen and injured many others. The attack occurred during a demonstration for an eight-hour workday that was organized by eight alleged anarchists who were later arrested and accused of the crime. Following a speedy trial, three were imprisoned; one committed suicide and four others were hanged. In 1893, Illinois Governor John P. Altgeld pardoned the three survivors after accusations of an unfair trial surfaced.",Tip O'Neil of the Browns became the first player ever to hit two round-trippers in championship play after knocking two inside-the-park homers en route to a 12-0 massacre over Chicago.,
1887,"Copyright 1999-2025. All Rights Reserved by Baseball Almanac, Inc. Hosted by Hosting 4 Less. Part of the Baseball Almanac Family",,
1888,"On August 22, and September 6, 1888, Indianapolis attempted to play games at night for the first time ever. Neither game was considered successful and the concept was scrapped.",,
1889,"Montgomery Ward organized a third league known as the ""Players League"" consisting of the Boston Reds, Brooklyn Wonders, Buffalo Bisons, Chicago Pirates, Cleveland Infants, New York Giants, Philadelphia Quakers and Pittsburgh Burghers. It was determined that all players moving into the new league for it's 1890 inaugural season would receive three-year contracts with guaranteed 1888 salaries for the first year and no subsequent pay-cuts.","On October 29th, the New York Giants defeated the Brooklyn Trolley-Dodgers in an early nine game version of the ""Subway Series"" world championship.",
1890,"The newly developed Players League debuted with eight teams (Boston, Brooklyn, Buffalo, Chicago, Cleveland, New York Philadelphia and Pittsburgh) as the Buffalo Bisons recorded the greatest opening day winning margin with a 23-2 victory over the Cleveland Infants.",,
1891,"America's most famous concert venue; Carnegie Hall opened in New York with guest conductor Peter Illich Tchaikovsky on the podium. Inside, the elegant and breathtaking 2,800-seat auditorium still remains as one of the worlds finest. For over one-hundred years, the hall has attracted the world's leading orchestras and solo or group performers including Bernstein, Ellington, Fitzgerald, Garland, Sinatra, Dylan, and the Beatles among thousands of others.",,
1892,"Copyright 1999-2025. All Rights Reserved by Baseball Almanac, Inc. Hosted by Hosting 4 Less. Part of the Baseball Almanac Family",,
1903,"Automobile pioneer Henry Ford organized the Ford Motor Company. By cutting the costs of production and by adapting the conveyor belt and assembly line to automobile production, Ford was soon able to outdistance all his competitors to become the largest car manufacturer in the world. In 1908 he designed the infamous ""Model T"" and nearly seventeen million cars were produced worldwide before the model was discontinued in 1928. Later a new design called the ""Model A"" was created to meet growing competition.",,
1904,"Frank Chance of the Chicago Cubs set a painful Major League mark after being hit four times in one day during a May 30th double header against the Cincinnati Reds. In the first game, ""The Peerless Leader "" actually lost consciousness after being tagged in the head by Jack Harper.","The Giants dominated the season from beginning to end. In September, John McGraw was asked about a postseason series with the winner of the American League pennant and he replied, ""When we clinch the National League pennant, we'll be champions of the only real Major League.""",
1905,"The ""Industrial Workers of the World"" (IWW) was founded in Chicago with the hopes of giving more control to unions. The aim of the IWW was to unite in one body all skilled and unskilled workers for the purpose of overthrowing capitalism by using direct action, propaganda, the boycott, and the strike. The IWW was also opposed the use of sabotage, arbitration, collective bargaining, and political affiliation. Unfortunately, recurring controversy during both World Wars along with accusations of treason caused dissention in the ranks from the top-down. From a probable strength of at least 30,000 in 1912, the membership later fell to less than 10,000 in 1930 and in the mid-1990s remained at less than 1,000.",,
1906,"More than five-hundred people were killed during the great San Francisco earthquake, which struck the ""City by the Bay"" on the morning of April 18 at 5:15 AM. Modern analysis estimated the tremors to register at an 8.25 on the Richter scale (By comparison, the quake that hit San Francisco on October 17, 1989 registered 6.7). The greatest destruction came from the fires that were ignited and the ensuing inferno ravaged the city for three days before burning out. In the end, the maelstrom destroyed four-hundred ninety city blocks, a total of 25,000 buildings and rendered over 250,000 residents homeless. Damage estimates topped $350,000,000.",,
1907,"In November, Oklahoma became the forty-sixth state admitted to the union. Originally set aside as Indian Territory in 1834, the region was later divided into both the Indian Territory and Oklahoma Territory in 1890. Known primarily as an oil rich state, Oklahoma's vast plains produce bumper yields of wheat, as well as large crops of hay, cotton, and peanuts. Livestock products also contribute more than half of Oklahoma's annual farm receipts.",,
1908,"In March, Honus Wagner announced his retirement from the Pittsburgh Pirates at the age of thirty-four. Despite the intention, he went on to play in one-hundred fifty-one games (more than in any of the past ten years) and led the league in hitting (for the sixth time), hits, total bases, doubles, triples, RBIs, and stolen bases.",,
1909,"Detroit Tigers legend Ty Cobb clinched the American League home run title after hitting nine, inside-the-park round-trippers. In doing so, he became the only player of the century to lead a league in home runs without ever actually hitting one ""out of the park"".",,
1910,Cleveland Indians ace Cy Young won his five-hundredth game on July 19th after beating the Washington Senators 5-4 at American League Park II.,,
1911,"On March 25th, the worst factory fire in the history of New York City occurred after the Triangle Shirtwaist Company burned down. The horrific incident had an even greater significance as it revealed the inhumane working conditions to which industrial workers were subjected. Employees at the factory consisted mostly of poor Jewish immigrants between the ages of thirteen and twenty-three and to keep the women at their sewing machines, the proprietors locked the doors leading to the exits. After a fire broke out on the eighth floor, many panicking workers rushed to the stairs, the freight elevator, and the fire escape. Dozens on the ninth floor died, unable to force open the locked door to the exit and the rear fire escape collapsed, killing many and eliminating an escape route for others. Although Pump Engine Company 20 and Ladder Company 20 arrived quickly (along with four other companies) the bodies of victims who had jumped hindered them from entering the building. In the end, a total of one-hundred forty-six women died in less than fifteen minutes bringing to the attention of the nation a need for more humane and safe working conditions in America's factories.",,
1912,"On August 11th, Joe Jackson of the Cleveland Indians became only the second American League player ever to steal home twice in a single game. Jackson first stole home in the first, then went on to thieve second, third and home in the seventh.",,
1913,"In September, Pittsburgh Pirate Honus Wagner was presented with a commemorative bat carved from a piece of wood taken from naval hero Oliver Perry's flagship Niagara (which had sunk in Lake Erie one-hundred years before). Wagner had been the first player ever to have his signature scrawled on a Louisville Slugger (1905).",,
1914,"The United States finally completed the construction of the Panama Canal. The fifty-one mile long waterway ran across the Isthmus of Panama, connecting the Atlantic (by way of the Caribbean Sea) and Pacific oceans. After the United States acquired territory in the Caribbean and in the Pacific as a result of the Spanish–American War (1899), U.S. control over a man-made canal seemed imperative. In 1912, ""The Panama Canal Act"" was passed (exempting tolls from American cargo ships engaged in coastwise trade) igniting a protest by Great Britain that was eventually repealed in 1914 through the efforts of President Woodrow Wilson.",,
1915,"The Superior Court in Fulton County, Georgia accepted the charter for the establishment of the new Ku Klux Klan on December 4th. The first Ku Klux Klan was an organization that thrived in the South during the Reconstruction period following the Civil War. Subsequent groups calling themselves by the same name sprang up in much of the South after both World War I and II and in response to civil-rights activity during the 1960s. In spite of its efforts, the new Klan was not strong, and by the end of the 1960s its nationwide power and membership had declined into a small, underground movement.",,
1916,"Congress officially established The National Park Service as a bureau in the Department of the Interior. The system included not only the most extraordinary and spectacular scenic exhibits in the United States, but also a large number of sites distinguished either for their historic or prehistoric importance or scientific interest, or for their superior recreational assets. Today, the National Park System is made up of over three-hundred seventy-five areas covering more than eighty-three million acres in every state except Delaware.",,
1957,"Copyright 1999-2025. All Rights Reserved by Baseball Almanac, Inc. Hosted by Hosting 4 Less. Part of the Baseball Almanac Family",,1957 All-Star Game | 1957 Team Standings | 1957 World Series
1958,"Cleveland Indian Vic Power became the first American League player since 1927 to steal home twice in the same game. The crafty first baseman first stole home in the eighth inning, then again in the tenth giving the Indians a 10-9 win over the Detroit Tigers.",,Baseball Commissioner Ford Frick announced that the players and coaches (rather than the fans) would elect their line-ups for the All-Star Game.
1959,Cleveland's Rocky Colavito hit four consecutive home runs at Baltimore's Memorial Stadium en route to an 11-8 victory over the home team Orioles. The Indian slugger joined Lou Gehrig and Bobby Lowe as the only Major League players ever to hit four consecutive round-trippers.,,1959 All-Star Game | 1959 Team Standings | 1959 World Series
1960,"On Opening Day, ""Teddy Baseball"" (Ted Williams) tied the ""Iron Horse"" (Lou Gehrig) with the 493rd home run of his career. The 500' blast in his first at-bat remained the only bright moment for Boston as the Washington Senators' Camilo Pascual struck out 11 Red Sox batters on the way to a 10-1 victory. Williams hit number 500 later that season with a 3-1 win over the Cleveland Indians on June 17.","Baseball's greatest defensive player became baseball's greatest offensive player with a single at-bat during the Pittsburgh Pirates versus New York Yankees World Series. After being statistically dominated by their American League rivals for six outings, the National League champions found themselves with their backs against the wall at Forbes Field for Game 7. Stats mattered little in the end though as second baseman Bill Mazeroski stepped up to the plate (in the bottom of the ninth) and delivered a desperate, bases-empty home run for the 10-9 victory and the first Pirates World Championship in thirty-five years.",1960 All-Star Game | 1960 Team Standings | 1960 World Series
1961,"In response to the rash of home runs around the league, both American League President Joe Cronin and National League President Warren Giles agreed to order tests to determine if the ""1961 baseball"" was ""livelier"" than those of past seasons. The investigation conducted by technologists at Foster D. Snell Inc. concluded that the ball was slightly larger and several ounces lighter than the one used by Babe Ruth in the 1920s.",,1961 All-Star Game | 1961 Team Standings | 1961 World Series
1962,"In late August, American spy planes detected the building of military missile sites in Cuba. U.S. Intelligence sources later determined the Soviets, under Nikita Khrushchev, had decided to shorten the strategic gap between the two world powers by placing missiles there limiting America's warning capabilities if attacked. In October, President John F. Kennedy was presented with conclusive proof that the Soviets were in fact installing medium-range ballistic missiles. After several tense days of defensive posturing, the issue was peacefully resolved after the United States agreed not to invade Cuba, and the Soviets agreed to withdraw all military forces and weapons.",,"After several years of ""double-headers"", both players and owners agreed to return the All-Star Game to its original, one-game format in 1963."
1963,"Cleveland pitcher Early Wynn finally won his 300th (and final) game thanks to a little help from the Indian's bullpen. After losing eight straight and struggling through five innings during the second half of a Kansas City doubleheader, Wynn was replaced by relief man Jerry Walker who tossed four scoreless sides en route to a 7-4 win over the Athletics.",,St. Louis Cardinals' slugger Stan Musial made a record 24th All-Star Game appearance as his National League teammates combined to beat their American League counterparts 5-3 in the Midsummer Classic.
1964,"American's first computer dynasty International Business Machines (also known as IBM) introduced the first 360 Computer, which was defined as a second-generation system based on transistors. The groundbreaking machine was instantly heralded as a huge success and became the standard for computers of many businesses for many years.",,1964 All-Star Game | 1964 Team Standings | 1964 World Series
1965,"Controversial civil rights activist Malcolm Little, also known as ""Malcolm X"", was assassinated while delivering a speech at the OAAU rally in the Audubon Ballroom in Harlem on February 21st. The Islamic minister had become an inspirational leader alongside Dr. Martin Luther King after breaking ties with the Nation of Islam in order to create his own religious community known as Muslim Mosque, Inc., and later the Organization of Afro-American Unity.",,1965 All-Star Game | 1965 Team Standings | 1965 World Series
1966,"Major League Baseball's first African-American umpire, Emmett Ashford made his debut on Opening Day as the American League's Washington Senators lost to the visiting Cleveland Indians 5-2.",,1966 All-Star Game | 1966 Team Standings | 1966 World Series
1979,"Copyright 1999-2025. All Rights Reserved by Baseball Almanac, Inc. Hosted by Hosting 4 Less. Part of the Baseball Almanac Family","Willie Stargell hit a two-run homer in the sixth inning of Game 7 to push the Pittsburgh Pirates ahead for good in a 4-1 World Series victory over the Baltimore Orioles. The championship title capped off a Cinderella season in which ""Pops"" and his ""Family"" brought fun back to baseball.",1979 All-Star Game | 1979 Team Standings | 1979 World Series
1980,"The Cleveland Indians tied a Major League record on June 1st after hitting four sacrifice flies in a single game thanks to Ron Hassey, Dave Rosello, Gary Alexander, and Dell Alston. Despite their selfless efforts, the Indians went on to lose 8-7 to the Seattle Mariners.",,1980 All-Star Game | 1980 Team Standings | 1980 World Series
1981,"Sandra Day O'Connor was sworn in as the first female judge on the Supreme Court after being nominated by President Reagan. The courts 102nd appointee served as an Arizona assistant attorney general from 1965 to 1969, when she was appointed to a vacancy in the Arizona Senate. In 1974, she ran successfully for trial judge, a position she held until she was appointed to the Arizona Court of Appeals in 1979.","Due to the two-month strike, Major League owners elected to split the 1981 season into two halves, with the first-place teams from each half in each division meeting in a best-of-five divisional playoff series. As a result, the Oakland A's, New York Yankees, Philadelphia Phillies, and Los Angeles Dodgers were guaranteed playoff spots as first-half league champions.",1981 All-Star Game | 1981 Team Standings | 1981 World Series
1982,"Copyright 1999-2025. All Rights Reserved by Baseball Almanac, Inc. Hosted by Hosting 4 Less. Part of the Baseball Almanac Family",,"""I should make it (Ty Cobb's all-time hits record) sometime before the All-Star Game in 1984."" - Pete Rose on June 22, 1982 (moments after moving past Hank Aaron for second place all-time)"
1983,"One of baseball's most modern controversies occurred as the New York Yankees took on the Kansas City Royals in what would be penned as ""The Great Pine Tar Incident"". As Goose Gossage was attempting to protect a 4-3 advantage, George Brett hit a two-run home run putting his team in the lead. That was until home plate umpire Tim McClelland called him out for having more than eighteen inches of pine tar from the end of his bat. The game was immediately protested by Royals skipper Dick Howser and was postponed until several weeks later when they went on to win anyway 5-4.",,Major League Baseball sold its rights for one year to both ABC and NBC for a combined $1.2 billion dollars. Each team received $7 million dollars as a result of the deal in which ABC contributed $575 million for regular season prime time and Sunday afternoons and NBC paid $550 million for thirty Saturday afternoon games. Both networks agreed to continue rotating all post-season and All-Star Game coverages.
1984,"Copyright 1999-2025. All Rights Reserved by Baseball Almanac, Inc. Hosted by Hosting 4 Less. Part of the Baseball Almanac Family",,"Al Schacht, better known as ""The Clown Prince of Baseball"" died on July 14th at the age of ninety-one. The former Washington Senators pitcher turned top hat jester had entertained the crowd before twenty-five World Series and eighteen All-Star Games."
1985,"U.S. President Ronald Reagan and Soviet leader Mikhail Gorbachev held a Summit Meeting in Geneva to discuss improving relations between the U.S.S.R. and the United States and to help decrease the risk of nuclear war. In the end, both agreed not to attempt to achieve military superiority and banned the development of chemical and biological weapons of mass destruction.",,1985 All-Star Game | 1985 Team Standings | 1985 World Series
1986,"The ""Curse of the Bambino"" remained in effect as the Boston Red Sox fell victim to the ""Amazin' Mets"". In Game 6, the Red Sox had a two-run, 10th-inning lead with two outs and no runners on base. Then, after the Mets hit three consecutive singles, a passed ball erased the Red Sox lead, setting up one of the most improbable comebacks in post-season history. When the Mets' Mookie Wilson tapped a grounder down the first base line that somehow found its way between Bill Buckner's legs, the game ended; the costly error gave New York a 6-5 victory, and extended the Series to a Game 7.",,
1987,"U.S. President Ronald Reagan and Soviet leader Mikhail Gorbachev signed the I.N.F. (Intermediate-range Nuclear Forces) treaty marking the beginning of the end of the Cold War. As a result, Soviets were able to quicken the pace of what was known as ""glasnost"" (openness and reform), which ultimately caused the end of the Soviet empire.",,
1998,"The Oakland Athletics Rickey Henderson scored the 2,000th run of his career in the A's 15-6 loss to the Cleveland Indians. In doing so, he joined Ty Cobb, Hank Aaron, Babe Ruth, Pete Rose, and Willie Mays as the only players to reach the milestone.",,
1999,"In a surprise move, the New York Yankees traded pitcher David Wells to the Toronto Blue Jays for five-time Cy Young winner Roger Clemens. Both are later reunited in pinstripes on the same Yankee rotation.",,
2000,"After years of delays, the International Space Station was finally operating in orbit thanks to a combined effort of technological resources from the U.S., Canada, Japan, Russia, eleven nations of the European Space Agency and Brazil.",,
2001,"On September 11 the world changed forever as two hijacked airplanes were flown into the World Trade Center's twin towers and a third airplane hit the Pentagon in Washington DC. A fourth plane was brought down before reaching its intended target by a heroic group of passengers in a field in western Pennsylvania. In the end, over 3,300 innocent people were killed and the United States along with a coalition of over sixty countries declared war on terrorism.",,"Baltimore Orioles icon ""Iron Man"" Cal Ripken re-enacted the final scene from ""The Natural"" with a dramatic home run blast in the third inning off of Chan Ho Park during his final All-Star Game appearance."
2002,"Copyright 1999-2025. All Rights Reserved by Baseball Almanac, Inc. Hosted by Hosting 4 Less. Part of the Baseball Almanac Family",,"For only the second time in the History of the Midsummer Classic, the 2002 All-Star Game was called at a 7-7 tie after eleven innings due to both teams running out of available pitchers."
2003,"New York Yankees ace Roger Clemens joined one of the most exclusive clubs in sports after becoming the twenty-first pitcher in Major League history to win three-hundred games. After announcing his intentions to retire at the end of the 2003 season, Clemens went on to complete his quest for three-hundred by defeating the St. Louis Cardinals, 5-2, in front of a sold-out crowd at Yankee Stadium. In doing so ""The Rocket"" became the first pitcher since Nolan Ryan in 1990 to reach three-hundred wins, tying Hall-of-Famers Early Wynn and Lefty Grove for nineteenth place on the all-time victory list. Later he joined another ""pitching fraternity"" after striking out the four-thousandth batter of his career. Only Nolan Ryan (5,714) and Steve Carlton (4,136) had more strikeouts than Clemens (to date), who had ten on the night. Ironically, Carlton had also won his three-hundredth against the Cardinals in 1983.",,"Major League Baseball's marketing division attempted to restore the fan's faith in the All-Star Game and make amends for the 2002 debacle that had ended in a 7-7 tie after both leagues ran out of available pitchers. To add more meaning to the fledgling exhibition, the 2003 Midsummer Classic slogan read ""This Time It Counts"" and for the first time in professional baseball history, home-field advantage in the World Series would be granted to the winner. The enticing proposal initially appeared to be more than just a marketing ploy as the last team to overcome the ""home-field curse"" was the Pittsburgh Pirates, who had beaten the odds (and the Baltimore Orioles) while away in 1979. However, despite winning 7-6, the American League later proved that home-field advantage was overrated after the Florida Marlins toppled the New York Yankees in Game 6 of the World Series at Yankee Stadium."
2004,"The Cleveland Indians scalped the New York Yankees with a record-setting 22-0 massacre on August 31st. With the defeat, the Bombers lost their fifth consecutive game in the Bronx for the first time since May of 2003. The twenty-two runs allowed were the most ever given up by the Yankees in their home ballpark and the most runs allowed since 1928, when the Indians won a 24-6 decision (one of two eighteen-run defeats in New York history). The loss also tied the largest margin of defeat in a shutout since 1900, equaling the mark set in 1975 by the Pittsburgh Pirates in a 22-0 win over the Chicago Cubs at Wrigley Field.",,
2005,"2005 will be remembered as a year in which the world seemed to be peppered with natural disasters including floods, earthquakes, mudslides, wild fires and even a tsunami (late December 2004). Tropical storms reached an all-time high as the National Hurricane Service ran out of letters from the English alphabet for naming them. The eleventh, christened ""Hurricane Katrina,"" first made landfall as a Category 1 hurricane in Miami, Florida on August 25, 2005 and then again on August 29th, along the Central Gulf Coast near New Orleans, Louisiana, as a Category 4 storm. The hurricane resulted in several breaches of the levee system that protected New Orleans from Lake Pontchartrain, and most of the city was subsequently flooded by the lake's waters. This and other major damage to the coastal regions of Louisiana, Mississippi, and Alabama made Katrina the most destructive and costliest natural disaster in the history of the United States. In the end, Katrina was responsible for $200 billion dollars in damage, and over 1,200 deaths. In addition, more than one-million people were left displaced, creating a humanitarian crisis unlike anything experienced in modern times.",,"Baltimore Oriole and Dominican superstar Miguel Tejada was awarded the ""Ted Williams Most Valuable Player Award"" for his efforts in leading the American League to a 7-5 victory over the National League in the 76th All-Star Game in Detroit. In doing so, Tejada became the fifth Latin-American born player among the last eight MVP winners. The victory increased the American League's unbeaten streak to nine and netted its third straight home-field advantage in the World Series."
2016,"The Cleveland Indians defeated the Toronto Blue Jays in the 2016 ALCS despite hitting just .168, setting a Major League record for the lowest batting average for a winning team in a postseason series. When they defeated the Chicago Cubs 1–0 in Game 3 of the 2016 World Series, it was their fifth shutout of the postseason, also a Major League record!","""It might as well be a matchup from a movie: the two teams with the longest title droughts in baseball paired in the same World Series. No wonder, then, that Joe Maddon has watched Field of Dreams since his Chicago Cubs clinched the National League pennant. 'I cry easily,' said Maddon, the Cubs’ manager. 'So the connection to the past is very important.' To loosely quote the script, the memories could be so thick at this World Series, the fans will have to swat them away from their faces. The Cubs have gone 108 years without a championship. The Cleveland Indians have gone 68. No other team in baseball has come close to so many consecutive unfulfilled seasons. 'The baseball gods are really happy right now,' the Indians' Mike Napoli said. 'I wanted the Cubs to win, just because I knew how cool it would be to be a part of it. I think it's going to be a special World Series. There's two droughts, and there’s going to be a winner.'"" - New York Times Staff Writer Tyler Kepner (10/24/2016, World Series Preview: For Cubs or Indians, Decades of Waiting Are Nearly Over, Source)","The Major League Baseball All-Star Game's 87th edition was played on July 12, 2016, at Petco Park in San Diego, California, home of the San Diego Padres. The American League, who won the All-Star Game 4–2, also won home-field advantage in the 2016 World Series."
2017,"In March 2017, the following Major League Baseball rule changes went into affect, after being ratified by the Major League Baseball Players Association:",,"The 88th Major League Baseball All-Star Game was played on July 11, 2017, at Marlins Park, the home of the Miami Marlins. For the first time since 2002, when the game ended in a tie, the All Star Game would not determine home field advantage for the World Series. Instead, home field advantage will be awarded to the team with the better regular season record."
2018,"Copyright 1999-2025. All Rights Reserved by Baseball Almanac, Inc. Hosted by Hosting 4 Less. Part of the Baseball Almanac Family","The year started with some history making news in the National Football League as the Philadelphia Eagles won their first Super Bowl in franchise history, defeating the heavily favored (yet again) New England Patriots, 41-33, in Super Bowl LII, ending a 57-year championship drought.","The 89th Major League Baseball All-Star Game will be held on July 17, 2018, at Nationals Park, the home of the Washington Nationals."
2019,"The Cleveland Indians agreed to stop using their ""Chief Wahoo"" logo on January 29, 2018. On November 19, 2018, the team unveiled new uniforms excluding the Chief Wahoo logo, as well as new hats with red brims for home games, a new red-colored home alternate jersey (marking the team's first red jersey since the 1970s), and sleeve patches commemorating their hosting of the 2019 All-Star Game.",,"The Cleveland Indians agreed to stop using their ""Chief Wahoo"" logo on January 29, 2018. On November 19, 2018, the team unveiled new uniforms excluding the Chief Wahoo logo, as well as new hats with red brims for home games, a new red-colored home alternate jersey (marking the team's first red jersey since the 1970s), and sleeve patches commemorating their hosting of the 2019 All-Star Game."
2020,"Copyright 1999-2025. All Rights Reserved by Baseball Almanac, Inc. Hosted by Hosting 4 Less. Part of the Baseball Almanac Family",,"The 91st Major League Baseball All-Star Game was scheduled for July 14, 2020, in Dodger Stadium, home of the Los Angeles Dodgers. On July 3, 2020, the All-Star Game was cancelled, and awarded back to the Dodgers in 2022."
1883,"Copyright 1999-2025. All Rights Reserved by Baseball Almanac, Inc. Hosted by Hosting 4 Less. Part of the Baseball Almanac Family",,
1884,"Copyright 1999-2025. All Rights Reserved by Baseball Almanac, Inc. Hosted by Hosting 4 Less. Part of the Baseball Almanac Family",,
1885,"Copyright 1999-2025. All Rights Reserved by Baseball Almanac, Inc. Hosted by Hosting 4 Less. Part of the Baseball Almanac Family","The American Association leading St. Louis Browns and National League champion Chicago White Stockings went head-to-head for six Championship games (winning three each) resulting in a rare tie. Despite the forming of a special committee to determine a winner, both teams were declared champions and split the $1,000 purse - $500 each.",
1886,"A bombing at Haymarket Square in Chicago killed seven policemen and injured many others. The attack occurred during a demonstration for an eight-hour workday that was organized by eight alleged anarchists who were later arrested and accused of the crime. Following a speedy trial, three were imprisoned; one committed suicide and four others were hanged. In 1893, Illinois Governor John P. Altgeld pardoned the three survivors after accusations of an unfair trial surfaced.",Tip O'Neil of the Browns became the first player ever to hit two round-trippers in championship play after knocking two inside-the-park homers en route to a 12-0 massacre over Chicago.,
1887,"Copyright 1999-2025. All Rights Reserved by Baseball Almanac, Inc. Hosted by Hosting 4 Less. Part of the Baseball Almanac Family",,
1888,"Copyright 1999-2025. All Rights Reserved by Baseball Almanac, Inc. Hosted by Hosting 4 Less. Part of the Baseball Almanac Family",,
1889,"Montgomery Ward organized a third league known as the ""Players League"" consisting of the Boston Reds, Brooklyn Wonders, Buffalo Bisons, Chicago Pirates, Cleveland Infants, New York Giants, Philadelphia Quakers and Pittsburgh Burghers. It was determined that all players moving into the new league for it's 1890 inaugural season would receive three-year contracts with guaranteed 1888 salaries for the first year and no subsequent pay-cuts.","On October 29th, the New York Giants defeated the Brooklyn Trolley-Dodgers in an early nine game version of the ""Subway Series"" world championship.",
1890,"The newly developed Players League debuted with eight teams (Boston, Brooklyn, Buffalo, Chicago, Cleveland, New York Philadelphia and Pittsburgh) as the Buffalo Bisons recorded the greatest opening day winning margin with a 23-2 victory over the Cleveland Infants.",,
1891,"America's most famous concert venue; Carnegie Hall opened in New York with guest conductor Peter Illich Tchaikovsky on the podium. Inside, the elegant and breathtaking 2,800-seat auditorium still remains as one of the worlds finest. For over one-hundred years, the hall has attracted the world's leading orchestras and solo or group performers including Bernstein, Ellington, Fitzgerald, Garland, Sinatra, Dylan, and the Beatles among thousands of others.",,
